order_id,order_date,region,category,units,unit_price,revenue,discount_pct,returned
ORD-1000,2024-01-03,West,Beauty,3,876.53,2629.59,0.15,No
ORD-1001,2024-01-03,West,Electronics,5,282.1,1416.14,0.15,No
ORD-1002,2024-01-04,West,Apparel,2,515.05,1038.34,0.05,No
ORD-1003,2024-01-06,South,Home,2,507.96,98000.0,0.0,No
ORD-1004,2024-01-07,North,Electronics,7,833.67,5929.06,0.2,No
ORD-1005,2024-01-15,North,Home,6,151.61,927.85,0.1,No
ORD-1006,2024-01-17,West,Beauty,5,365.97,1873.77,0.05,Yes
ORD-1007,2024-01-18,South,Beauty,6,587.98,3626.66,0.2,No
ORD-1008,2024-01-21,North,Home,3,171.79,531.86,0.2,No
ORD-1009,2024-01-22,West,Beauty,6,304.51,1892.83,0.2,No
ORD-1010,2024-01-23,East,Apparel,2,482.75,1004.12,0.0,No
ORD-1011,2024-02-04,South,Apparel,4,807.07,3370.32,0.0,No
ORD-1012,2024-02-04,South,Electronics,2,713.55,1495.6,0.05,No
ORD-1013,2024-02-06,South,Home,3,766.6,2419.39,0.1,No
ORD-1014,2024-02-06,North,Apparel,3,713.63,2260.78,0.0,No
ORD-1015,2024-02-10,North,Beauty,3,672.02,2137.02,0.05,No
ORD-1016,2024-02-12,West,Apparel,4,782.76,3331.43,0.1,No
ORD-1017,2024-02-14,South,Beauty,1,651.55,695.86,0.15,No
ORD-1018,2024-02-18,South,Electronics,3,693.83,2231.36,0.15,No
ORD-1019,2024-02-19,North,Electronics,6,355.28,2293.69,0.0,No
ORD-1020,2024-02-22,East,Apparel,4,250.76,1083.28,0.05,No
ORD-1021,2024-02-25,North,Electronics,4,710.09,3078.95,0.0,No
ORD-1022,2024-02-26,South,Apparel,1,249.35,271.29,0.0,No
ORD-1023,2024-02-27,North,Home,3,837.18,2742.6,0.15,No
ORD-1024,2024-02-29,North,Home,7,585.38,4491.04,,No
ORD-1025,2024-03-09,West,Electronics,4,376.96,1658.62,0.05,No
