week_start,channel,campaign,spend,impressions,clicks,conversions,revenue,ctr_pct,cpc,roas
2023-09-18,Social,Social-2309,2469.28,4018,68,3,8642.11,1.705,36.04,3.5
2024-10-14,Display,Display-2410,6140.79,18353,253,11,14506.92,1.382,24.21,2.36
2024-04-15,Paid Search,Paid-2404,5648.8,5302,161,9,31660.64,3.045,34.99,5.6
2024-12-09,Display,Display-2412,2172.35,5552,85,2,4596.98,1.533,25.53,2.12
2025-04-07,Paid Search,Paid-2504,2150.2,2407,57,3,9291.6,2.409,37.08,4.32
2025-06-23,Social,Social-2506,1628.32,2249,52,1,3586.69,2.326,31.13,2.2
2023-08-21,Display,Display-2308,3145.48,8562,112,6,11351.92,1.319,27.86,3.61
2023-03-20,Email,Email-2303,1294.73,6899,78,3,8970.04,1.136,16.52,6.93
2023-08-07,Paid Search,Paid-2308,6112.63,5980,144,5,20876.6,2.41,42.41,3.42
2024-05-20,Paid Search,Paid-2405,2501.16,2972,86,2,8643.35,2.909,28.92,3.46
2023-07-17,Email,Email-2307,1513.09,7471,71,3,9813.37,0.957,21.16,6.49
2024-04-08,Display,Display-2404,3977.36,12160,137,4,5525.32,1.134,28.84,1.39
2024-07-15,Display,Display-2407,1535.8,3644,56,2,3673.9,1.558,27.05,2.39
2024-05-27,Paid Search,Paid-2405,1530.39,1701,58,3,10602.52,3.414,26.35,6.93
2025-05-05,Display,Display-2505,2714.64,8187,130,5,9367.44,1.599,20.74,3.45
2023-10-09,Email,Email-2310,1033.81,5184,49,2,7900.38,0.951,20.97,7.64
2024-01-01,Email,Email-2401,1862.74,8353,90,3,10150.87,1.085,20.56,5.45
2023-11-06,Email,Email-2311,1365.95,6253,60,2,6993.68,0.971,22.49,5.12
2023-12-11,Affiliate,Affiliate-2312,303.16,656,15,0,2430.98,2.292,20.15,8.02
2023-05-29,Affiliate,Affiliate-2305,1694.65,2858,62,3,9451.09,2.181,27.18,5.58
2025-04-28,Paid Search,Paid-2504,4508.1,4582,169,9,29121.46,3.695,26.63,6.46
2024-05-13,Email,Email-2405,507.32,2585,21,0,2120.25,0.822,23.86,4.18
2024-06-10,Paid Search,Paid-2406,5331.84,6297,200,11,34046.95,3.176,26.66,6.39
2025-04-07,Email,Email-2504,497.36,2319,22,1,3725.96,0.956,22.42,7.49
2024-12-23,Display,Display-2412,2142.64,5722,70,3,5618.67,1.23,30.44,2.62
2023-07-24,Social,Social-2307,2511.77,3811,78,3,6385.59,2.066,31.9,2.54
2023-09-25,Social,Social-2309,2301.68,4062,79,3,7517.34,1.949,29.07,3.27
2025-02-03,Paid Search,Paid-2502,1106.8,1279,31,1,5132.94,2.454,35.26,4.64
2024-06-17,Affiliate,Affiliate-2406,913.85,1935,33,1,3637.32,1.717,27.5,3.98
2025-04-14,Social,Social-2504,2939.67,4129,103,3,6813.55,2.516,28.29,2.32
2023-07-10,Display,Display-2307,1481.78,4727,74,3,5924.99,1.577,19.88,4.0
2023-07-17,Social,Social-2307,641.37,1010,18,0,1415.91,1.802,35.23,2.21
2025-03-31,Paid Search,Paid-2503,1144.27,1243,45,2,9174.91,3.684,24.98,8.02
2023-10-30,Email,Email-2310,1333.71,6544,51,2,6711.77,0.79,25.8,5.03
2024-06-17,Email,Email-2406,1171.17,6159,56,3,9943.39,0.923,20.6,8.49
2023-08-07,Affiliate,Affiliate-2308,1297.5,2590,53,3,11192.53,2.078,24.1,8.63
2025-02-24,Paid Search,Paid-2502,4084.66,4021,106,5,15053.98,2.658,38.22,3.69
2024-06-03,Email,Email-2406,4001.06,20630,241,8,27205.62,1.17,16.57,6.8
2024-02-12,Affiliate,Affiliate-2402,1347.19,2365,53,2,6670.89,2.251,25.29,4.95
2024-06-24,Display,Display-2406,1182.73,3038,41,1,2273.98,1.359,28.63,1.92
2025-02-24,Display,Display-2502,1379.68,4050,50,2,2693.27,1.246,27.33,1.95
2023-12-04,Paid Search,Paid-2312,2563.27,2955,91,3,11818.53,3.106,27.92,4.61
2024-09-30,Paid Search,Paid-2409,2663.67,2833,68,2,6173.83,2.405,39.1,2.32
2024-05-27,Email,Email-2405,1774.85,8043,72,2,6657.54,0.903,24.44,3.75
2023-10-09,Affiliate,Affiliate-2310,429.19,721,11,0,1239.2,1.574,37.78,2.89
2024-05-06,Affiliate,Affiliate-2405,2298.24,4856,95,4,11917.77,1.966,24.07,5.19
2023-07-03,Affiliate,Affiliate-2307,717.81,1245,20,1,4046.51,1.658,34.75,5.64
2025-06-23,Display,Display-2506,1856.23,4589,67,3,4633.36,1.481,27.31,2.5
2025-05-12,Social,Social-2505,1449.07,2321,56,1,3604.96,2.447,25.51,2.49
2024-07-22,Email,Email-2407,1364.97,6406,74,2,6400.15,1.158,18.4,4.69
2025-02-10,Social,Social-2502,2593.99,3517,73,3,9244.19,2.076,35.53,3.56
2023-04-10,Paid Search,Paid-2304,2104.77,2389,68,3,11097.59,2.887,30.51,5.27
2024-04-22,Affiliate,Affiliate-2404,810.07,1719,36,1,3737.53,2.14,22.01,4.61
2025-02-24,Social,Social-2502,1319.23,2353,46,1,4909.28,1.959,28.61,3.72
2023-06-05,Paid Search,Paid-2306,2519.3,3169,91,4,15316.71,2.888,27.53,6.08
2024-12-23,Paid Search,Paid-2412,1918.09,2347,77,3,,3.308,24.7,5.85
2025-02-03,Affiliate,Affiliate-2502,1473.9,3171,56,2,7289.97,1.797,25.86,4.95
2025-02-10,Email,Email-2502,3238.09,12776,151,8,25597.51,1.182,21.44,7.91
2024-03-25,Paid Search,Paid-2403,3396.53,4185,145,4,14770.52,3.471,23.38,4.35
