order_id,order_date,region,city,category,product,channel,segment,units,unit_price,discount_pct,revenue,cost,profit,returned,customer_id
ORD-100000,2023-01-01,South,Hyderabad,Apparel,Cotton T-Shirt,Online,Home Office,2,986.68,0.15,1677.36,762.01,915.35,No,CUST-1161
ORD-100001,2023-01-02,South,Chennai,Electronics,Smart Watch,Online,Corporate,4,3164.69,0.0,12658.76,7395.05,5263.71,No,CUST-1870
ORD-100002,2023-01-02,West,Pune,Electronics,Smart Watch,Online,Consumer,2,1831.57,0.0,3663.14,1947.4,1715.74,No,CUST-1095
ORD-100003,2023-01-02,East,Kolkata,Apparel,Denim Jeans,Retail Store,Consumer,5,1083.13,0.0,5415.65,3695.22,-1110.9,Yes,CUST-1729
ORD-100004,2023-01-02,North,Delhi,Beauty,Face Wash,Retail Store,Consumer,2,400.25,0.0,800.5,364.47,436.03,No,CUST-1628
ORD-100005,2023-01-02,North,Chandigarh,Home & Kitchen,Chef Knife,Online,Consumer,6,2771.74,0.05,15798.92,9533.35,6265.57,No,CUST-1114
ORD-100006,2023-01-03,East,Patna,Apparel,Rain Jacket,Partner,Corporate,5,901.34,0.3,3154.69,2144.94,1009.75,No,CUST-1824
ORD-100007,2023-01-03,South,Bengaluru,Home & Kitchen,Espresso Machine,Online,Consumer,8,1628.94,0.3,9122.06,4245.52,4876.54,No,CUST-1146
ORD-100008,2023-01-03,North,Jaipur,Apparel,Wool Sweater,Retail Store,Consumer,2,993.74,0.2,1589.98,1186.35,403.63,No,CUST-1144
ORD-100009,2023-01-04,South,Kochi,Home & Kitchen,Cookware Set,Online,Consumer,3,1728.45,0.15,4407.55,2508.76,1898.79,No,CUST-1489
ORD-100010,2023-01-04,East,Patna,Apparel,Wool Sweater,Online,Home Office,2,1250.88,0.0,2501.76,1262.23,1239.53,No,CUST-1092
ORD-100011,2023-01-05,West,Mumbai,Home & Kitchen,Air Fryer,Online,Corporate,6,2166.06,0.05,12346.54,6474.57,5871.97,No,CUST-1092
ORD-100012,2023-01-05,South,Hyderabad,Apparel,Rain Jacket,Retail Store,Home Office,1,945.68,0.2,756.54,425.05,331.49,No,CUST-1561
ORD-100013,2023-01-05,South,Bengaluru,Sports,Dumbbell Set,Online,Consumer,6,1500.94,0.3,6303.95,3249.46,3054.49,No,CUST-1867
ORD-100014,2023-01-05,North,Delhi,Apparel,Cotton T-Shirt,Online,Consumer,7,762.38,0.3,3735.66,2310.47,1425.19,No,CUST-1047
ORD-100015,2023-01-05,South,Bengaluru,Electronics,Wireless Earbuds,Retail Store,Consumer,6,2104.03,0.05,11992.97,7901.78,4091.19,No,CUST-1574
ORD-100016,2023-01-05,North,Chandigarh,Electronics,4K Monitor,Retail Store,Home Office,2,3201.59,0.1,5762.86,3417.56,2345.3,No,CUST-1541
ORD-100017,2023-01-05,South,Bengaluru,Apparel,Cotton T-Shirt,Retail Store,Consumer,4,742.49,0.1,2672.96,1579.51,1093.45,No,CUST-1059
ORD-100018,2023-01-06,East,Guwahati,Home & Kitchen,Air Fryer,Retail Store,Corporate,5,1644.3,0.0,8221.5,5820.5,2401.0,No,CUST-1134
ORD-100019,2023-01-07,North,Delhi,Home & Kitchen,Cookware Set,Retail Store,Consumer,4,2569.19,0.0,10276.76,5645.39,4631.37,No,CUST-1399
ORD-100020,2023-01-07,North,Jaipur,Home & Kitchen,Cookware Set,Retail Store,Consumer,4,2420.96,0.0,9683.84,6347.89,-4804.1,Yes,CUST-1623
ORD-100021,2023-01-07,North,Chandigarh,Electronics,Bluetooth Speaker,Online,Consumer,7,2129.77,0.2,11926.71,8881.39,3045.32,No,CUST-1199
ORD-100022,2023-01-07,West,Pune,Home & Kitchen,Espresso Machine,Online,Consumer,7,1875.51,0.0,13128.57,6867.55,6261.02,No,CUST-1390
ORD-100023,2023-01-08,East,Guwahati,Home & Kitchen,Espresso Machine,Online,Corporate,3,1739.96,0.2,4175.9,2733.41,1442.49,No,CUST-1441
ORD-100024,2023-01-08,North,Chandigarh,Apparel,Wool Sweater,Online,Home Office,3,1364.38,0.05,3888.48,2966.25,922.23,No,CUST-1640
ORD-100025,2023-01-08,West,Ahmedabad,Apparel,Rain Jacket,Online,Corporate,2,1176.82,0.25,1765.23,1102.97,662.26,No,CUST-1222
ORD-100026,2023-01-08,South,Bengaluru,Electronics,4K Monitor,Online,Consumer,4,2671.77,0.0,10687.08,8254.45,-1151.42,Yes,CUST-1620
ORD-100027,2023-01-09,South,Kochi,Apparel,Rain Jacket,Online,Corporate,5,1106.13,0.0,5530.65,3054.66,2475.99,No,CUST-1748
ORD-100028,2023-01-10,West,Surat,Beauty,Hair Oil,Retail Store,Consumer,6,344.47,0.0,2066.82,1314.95,751.87,No,CUST-1524
ORD-100029,2023-01-10,North,Chandigarh,Sports,Cricket Bat,Retail Store,Corporate,3,1135.65,0.05,3236.6,1788.68,1447.92,No,CUST-1648
ORD-100030,2023-01-10,North,Chandigarh,Home & Kitchen,Espresso Machine,Online,Corporate,2,2225.4,0.15,3783.18,1707.07,2076.11,No,CUST-1150
ORD-100031,2023-01-12,South,Hyderabad,Electronics,Wireless Earbuds,Partner,Consumer,1,3241.01,0.0,3241.01,2525.11,-477.77,Yes,CUST-1815
