ticket_id,created_at,category,priority,channel,agent,first_response_mins,resolution_hours,csat,reopened,summary
TKT-6536,2024-03-24 16:00,shipping,low,email,Ananya,0.87,6.86,3.0,No,Unable to apply coupon code
TKT-5002,2024-12-22 17:00,shipping,high,portal,Imran,1.94,7.95,4.0,No,Customer cannot reset password
TKT-5503,2025-04-17 18:00,login issue,urgent,chat,Sara,0.31,1.71,5.0,No,Request to merge duplicate accounts
TKT-6342,2024-03-06 01:00,Bug,high,portal,Meera,0.56,3.48,4.0,No,Request to merge duplicate accounts
TKT-6027,2024-06-01 22:00,Login Issue,high,email,Meera,1.21,4.3,3.0,No,Unable to apply coupon code
TKT-5472,2024-08-23 11:00,Login Issue,low,phone,Ananya,3.69,20.64,4.0,No,Request to merge duplicate accounts
TKT-5481,2025-03-28 00:00,Login Issue,low,chat,Ananya,1.32,10.22,,No,App crashes on checkout
TKT-5368,2024-01-13 01:00,Bug,high,email,Vikram,0.45,3.3,3.0,Yes,Delivery delayed by courier
TKT-5458,2025-04-03 05:00,feature request,high,email,Sara,0.81,3.27,5.0,No,App crashes on checkout
TKT-5862,2024-03-06 12:00,Bug,low,email,Vikram,0.46,4.0,4.0,No,Delivery delayed by courier
TKT-5592,2024-05-10 17:00,billing,low,phone,Ananya,0.38,6.2,4.0,No,Delivery delayed by courier
TKT-6151,2024-10-02 02:00,billing,medium,email,Rahul,1.16,7.84,4.0,No,Refund not received after 14 days
TKT-6450,2024-06-09 00:00,feature request,medium,email,Imran,5.41,13.71,3.0,No,Delivery delayed by courier
TKT-6374,2025-04-28 15:00,login issue,high,phone,Meera,1.02,4.6,5.0,No,Delivery delayed by courier
TKT-5626,2024-07-03 08:00,billing,low,portal,Meera,0.31,3.19,,No,Refund not received after 14 days
TKT-5174,2025-01-14 17:00,login issue,medium,portal,Rahul,0.33,5.41,4.0,No,Refund not received after 14 days
TKT-5615,2024-12-14 13:00,Bug,high,email,Ananya,0.83,2.79,4.0,No,Unable to apply coupon code
TKT-6493,2024-06-30 12:00,login issue,medium,email,Sara,0.26,2.01,4.0,Yes,Customer cannot reset password
TKT-5570,2025-06-01 02:00,billing,medium,email,Imran,1.35,4.76,5.0,No,Delivery delayed by courier
TKT-5909,2024-02-19 23:00,login issue,low,email,Meera,3.95,14.75,4.0,No,App crashes on checkout
TKT-5611,2024-09-09 05:00,Shipping,high,email,Vikram,1.47,5.93,,No,App crashes on checkout
TKT-6321,2024-05-29 18:00,billing,medium,chat,Sara,0.48,2.2,4.0,No,Request to merge duplicate accounts
TKT-5835,2025-02-27 08:00,Login Issue,low,portal,Rahul,0.61,7.91,3.0,No,Wants dark mode in the mobile app
TKT-5272,2024-03-23 13:00,Login Issue,medium,portal,Ananya,1.62,6.96,5.0,No,Invoice shows wrong GST number
TKT-6364,2024-10-29 08:00,shipping,low,portal,Ananya,4.58,21.29,4.0,No,Wants dark mode in the mobile app
TKT-6035,2025-02-08 18:00,billing,medium,email,Rahul,0.97,13.85,3.0,No,Refund not received after 14 days
TKT-5710,2025-01-05 04:00,Billing,low,portal,Ananya,0.43,5.28,4.0,No,Request to merge duplicate accounts
TKT-5292,2025-06-03 19:00,login issue,high,email,Meera,1.34,3.47,5.0,Yes,Unable to apply coupon code
TKT-5056,2024-10-24 21:00,bug,medium,email,Imran,0.75,7.22,4.0,No,Wants dark mode in the mobile app
TKT-6065,2024-07-30 08:00,shipping,high,chat,Vikram,1.08,4.5,4.0,No,Delivery delayed by courier
TKT-5677,2024-02-16 01:00,Shipping,medium,email,Vikram,1.13,4.53,5.0,Yes,Unable to apply coupon code
TKT-5748,2024-06-19 14:00,login issue,high,portal,Meera,0.75,2.6,3.0,No,Invoice shows wrong GST number
TKT-6521,2025-01-22 19:00,billing,high,email,Ananya,1.13,7.93,4.0,No,App crashes on checkout
TKT-6217,2025-02-03 03:00,billing,low,email,Ananya,1.28,4.71,4.0,No,Invoice shows wrong GST number
TKT-5977,2024-11-07 23:00,Login Issue,high,email,Vikram,1.22,4.2,3.0,No,Invoice shows wrong GST number
TKT-5311,2025-01-01 08:00,Login Issue,low,portal,Ananya,1.67,8.26,5.0,No,Unable to apply coupon code
TKT-5442,2024-03-13 01:00,login issue,medium,portal,Sara,2.41,7.66,5.0,Yes,Request to merge duplicate accounts
TKT-5933,2024-12-19 19:00,login issue,low,email,Ananya,2.56,8.33,3.0,No,Invoice shows wrong GST number
TKT-5093,2024-07-30 04:00,billing,urgent,email,Sara,0.13,2.45,4.0,No,Invoice shows wrong GST number
TKT-6277,2025-02-25 16:00,Billing,medium,phone,Rahul,1.82,11.06,3.0,No,Wants dark mode in the mobile app
TKT-6186,2024-03-18 14:00,login issue,medium,email,Meera,1.04,12.06,,No,Wants dark mode in the mobile app
TKT-6558,2025-06-26 08:00,Shipping,low,phone,Ananya,2.76,10.61,4.0,No,Delivery delayed by courier
TKT-6327,2024-02-16 05:00,login issue,low,portal,Imran,2.26,10.26,4.0,No,Delivery delayed by courier
TKT-5618,2024-02-03 07:00,shipping,low,chat,Ananya,3.38,14.44,3.0,No,App crashes on checkout
TKT-5136,2024-11-24 13:00,Shipping,high,chat,Vikram,0.19,1.76,5.0,No,Invoice shows wrong GST number
TKT-6576,2024-10-25 18:00,shipping,low,portal,Ananya,0.93,7.7,3.0,No,Delivery delayed by courier
TKT-6197,2025-06-19 02:00,login issue,high,chat,Ananya,0.66,1.76,,No,Unable to apply coupon code
TKT-5269,2024-11-18 01:00,Login Issue,medium,phone,Ananya,1.32,5.4,,No,Customer cannot reset password
TKT-6309,2025-04-09 18:00,Billing,high,email,Rahul,2.12,11.98,4.0,No,Unable to apply coupon code
TKT-6318,2024-09-01 16:00,billing,urgent,chat,Rahul,0.15,2.16,4.0,No,Wants dark mode in the mobile app
TKT-6181,2025-05-20 11:00,login issue,high,chat,Rahul,2.15,7.08,4.0,No,App crashes on checkout
TKT-5892,2024-10-11 18:00,BILLING,medium,chat,Sara,1.82,4.61,5.0,No,Customer cannot reset password
TKT-6545,2024-11-17 15:00,billing,high,email,Vikram,0.63,2.06,4.0,No,Refund not received after 14 days
TKT-5762,2025-06-01 05:00,shipping,low,portal,Meera,2.47,29.37,4.0,No,Refund not received after 14 days
TKT-5279,2024-02-15 02:00,login issue,low,phone,Rahul,2.21,6.63,5.0,No,Wants dark mode in the mobile app
TKT-6477,2024-08-02 19:00,Billing,urgent,chat,Imran,0.51,2.24,3.0,No,Wants dark mode in the mobile app
TKT-5260,2025-03-08 10:00,Shipping,high,portal,Vikram,0.71,3.58,4.0,No,Invoice shows wrong GST number
TKT-6473,2024-04-22 19:00,shipping,low,email,Meera,4.08,15.47,3.0,No,Request to merge duplicate accounts
TKT-6403,2024-06-24 18:00,Billing,low,email,Meera,1.54,9.23,5.0,No,Request to merge duplicate accounts
TKT-5232,2024-01-11 15:00,feature request,high,phone,Rahul,1.1,2.96,5.0,No,Wants dark mode in the mobile app
TKT-5744,2025-03-09 09:00,Login Issue,high,email,Rahul,0.48,1.58,5.0,Yes,Customer cannot reset password
TKT-5036,2025-04-12 18:00,Bug,medium,email,Rahul,1.31,6.09,4.0,No,Request to merge duplicate accounts
TKT-6087,2025-06-23 17:00,Billing,high,chat,Sara,0.81,3.29,4.0,No,Delivery delayed by courier
TKT-5767,2024-09-18 06:00,billing,low,chat,,0.8,7.01,,No,Unable to apply coupon code
