id,team,score
0,beta,0
1,alpha,7
2,beta,14
3,alpha,21
4,beta,28
5,alpha,35
6,beta,42
7,alpha,49
8,beta,3
9,alpha,10
10,beta,17
11,alpha,24
12,beta,31
13,alpha,38
14,beta,45
15,alpha,52
16,beta,6
17,alpha,13
18,beta,20
19,alpha,27
20,beta,34
21,alpha,41
22,beta,48
23,alpha,2
24,beta,9
25,alpha,16
26,beta,23
27,alpha,30
28,beta,37
29,alpha,44
30,beta,51
31,alpha,5
32,beta,12
33,alpha,19
34,beta,26
35,alpha,33
36,beta,40
37,alpha,47
38,beta,1
39,alpha,8
40,beta,15
41,alpha,22
42,beta,29
43,alpha,36
44,beta,43
45,alpha,50
46,beta,4
47,alpha,11
48,beta,18
49,alpha,25
50,beta,32
51,alpha,39
52,beta,46
53,alpha,0
54,beta,7
55,alpha,14
56,beta,21
57,alpha,28
58,beta,35
59,alpha,42
